what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1490244747983
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1490244747984
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1490244747985
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1490244747986
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1490244747987
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1490244747988
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1490244747988
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1490244747989
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1490244747990
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1490244747991
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1490244747992
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1490244747994
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1490244747995
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1490244747996
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1490244747997
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1490244747997
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1490244747999
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1490244748000
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1490244748002
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1490244748003
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1490244748004
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1490244748005
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1490244748006
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1490244748007
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1490244748007
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1490244748007
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1490244748008
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1490244748009
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1490244748010
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1490244748011
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1490244748013
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1490244748013
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1490244748014
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1490244748015
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1490244748016
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1490244748017
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1490244748018
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1490244748018
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1490244748019
started,bundle,org.eclipse.m2e.discovery,1.3.1.20130219-1424,"org.eclipse.m2e.discovery",1490244748020
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1490244748020
os,sysinfo,,,"linux",1490244748026
arch,sysinfo,,,"x86_64",1490244748026
ws,sysinfo,,,"gtk",1490244748026
locale,sysinfo,,,"en_PH",1490244748026
processors,sysinfo,,,"4",1490244748026
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490244748026
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1490244748026
java.specification.name,sysinfo,,,"Java Platform API Specification",1490244748026
java.specification.vendor,sysinfo,,,"Oracle Corporation",1490244748026
java.specification.version,sysinfo,,,"1.8",1490244748026
java.vendor,sysinfo,,,"Oracle Corporation",1490244748026
java.version,sysinfo,,,"1.8.0_121",1490244748026
java.vm.info,sysinfo,,,"mixed mode",1490244748026
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1490244748026
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490244748026
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1490244748026
java.vm.specification.version,sysinfo,,,"1.8",1490244748026
java.vm.vendor,sysinfo,,,"Oracle Corporation",1490244748026
java.vm.version,sysinfo,,,"25.121-b13",1490244748026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244750217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244753870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490244756156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490244756169
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1490244756198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244759892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244761048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244780071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244781186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244788115
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1490244806512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244806526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244807302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244829185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1490244833335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1490244834359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1490244834619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1490244834809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490244838454
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1490244858685
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1490244858711
